stipatio,clustering
Mahometanus,Mohammedan
mahometanus,Mohammedan
molécula,molecule
súbitus,quick
monádicus,oneplace
monadologia,monadology
monarchia,monarchy
monasterium,monastery
monasticus,monastic
monetarius,monetary
pecunia,money
monismus,monism
monitorium,monitor
monachus,monk
monographia,monograph
monopolium,monopoly
monotheismus,monotheism
monotonus,monotonous
monotonia,monotony
incertum,moot
moralis,moral
moralismus,moralism
moralitas,morality
ínsuper,moreover
matutinus,morning
morphologia,morphology
mortalis,mortal
mortalitas,mortality
plerique,most
plerumque,ordinarily
tínea,moth
motivatio,motivation
motorium,motor
autobírota,motorcycle
motor,mover
taeníola,movie
multitudo,multitude
Monachium,Munich
necator,murderer
musculósus,muscula
museum,museum
musicus,musical
Muslimus,Muslim
subium,mustache
repressio,muzzle
arcanus,secret
mysterium,mystery
mythicus,mythical
ingenuitas,naivete
scilicet,namely
meridiatio,nap
mappa,napkin
narcoticus,narcotic
narrativus,narrative
turpis,vile
nationalis,national
naturalis,natural
naturalismus,naturalism
naturalitas,naturality
natura,nature
naturismus,naturism
ímprobus,shameless
nausea,nausea
immo,nay
necessitas,urgency
egens,needy
negativus,negative
vicínus,neighbor
nec,neither
neologismus,neologism
neothomismus,neothomism
intentus,tense
reticulum,network
neutralismus,neutralism
neutrinum,neutrino
diarium,newspaper
diurnarius,newspaper
Neotonianus,Newtonian
proximus,next
inde,next
bellus,pretty
Nicaenus,Nicene
nicotinum,nicotine
véspere,nightfall
nihilismus,nihilism
nirvana,nirvana
non,not
noética,noetics
clamosus,noisy
nomadicus,nomadic
nominalis,nominal
nominalismus,nominalism
nomine,nominally
haud,non-
absurdum,nonsense
norma,standard
normalis,normal
normativus,normative
septentrionalis,northern
nostalia,nostalgia
nostalgicus,nostalgic
notandus,notable
praeprímis,notably
notatio,note
nihil,zero
animadversio,remark
notabilis,noticeable
notus,notorius
novicius,novel
novitas,novelty
novitiatus,noviciate
nunc,now
nusquam,nowhere
nuclearis,nuclear
nudus,nude
numerus,number
mónacha,nun
nutritio,nutrition
oboedientia,obedience
oboediens,obedient
oboedienter,obediently
gynecólogus-obstetrícius,OBGYN
objectum,object
objectio,objection
objectivus,objective
oblatio,offer
obscure,obscurely
attentus,observant
observator,observer
obsolétus,obsolete
patens,obvious
occasio,occasion
octava,octave
insólitus,strange
insolentia,oddness
odysséa,odyssey
extinctus,off
offensa,offense
oppugnatio,offensive
oblatum,offering
dicasterium,office
publice,officially
saepe,often
óleum,oil
petrolearius,oil
bene,okay
oligarchia,oligarchy
ominosus,ominous
praetermissio,omission
omnípotens,omnipotent
omnísciens,omniscient
accensus,on
utrólibet,on
semel,once
univalens,one-
luscus,one-eyed
nonnisi,only
accessio,onset
onticus,ontic
ontologismus,ontologism
ontologia,ontology
apertum,opening
apertio,openness
palam,openly
contrarium,reverse
contra,opposite
vexatio,oppression
ópticus,optic
óptimus,optimal
optimismus,optimism
optimisticus,optimistic
optio,option
eligibilis,optional
orchestra,orchestra
orchestralis,orchestral
ordinalis,ordinal
ordinarius,regular
organicus,organic
ordinatus,organized
instructor,organizer
novus,original
initio,originally
inceptor,originator
orthodoxus,orthodox
orthodoxia,orthodoxy
alteritas,otherness
secus,otherwise
eruptio,rash
excursio,trip
proscriptus,outlaw
priscus,outmoded
nefastus,tabu
extrernus,outside
extra,outside
foris,outside
ovarium,ovary
obumbrare,overshadow
praecentio,overture
propter,owing
Oxonium,Oxford
oxygenium,oxygen
ozonium,ozone
pacifismus,pacifism
paganus,pagan
paganismus,paganism
pagina,page
paginalis,page
dolor,pain
tabula,painting
graphicus,painting
conjungo,pair
regia,palace
pállidus,pale
pallitudo,paleness
palpábilis,palpable
sessio,session
pánicum,panic
pantheismus,pantheism
pontificius,papal
chartáceus,paper
pompa,parade
paradóxum,paradox
parallelus,parallel
similitudines,parallels
paralogismus,paralogism
paralýticus,paralytic
parasíticus,parasitic
paroecia,parish
Parisiensis,Parisian
viridarium,park
paroecialis,parochial
paródia,parody
parcitas,parsimony
apium,parsley
partim,partially
participium,participle
particula,particle
particularis,particular
collusor,partner
pascalis,pascal
progreditur,pass
ardens,passionate
passivus,passive
passivitas,passivity
signum,signal
praeteritus,past
pasta,pasta
pastoralis,pastoral
sémita,sidewalk
patheticus,pathetic
patientia,patience
patiens,patient
área,patio
patricius,patrician
patristicus,patristic
patrologia,patrology
patrócinor,patron
patrocinium,patronage
pisum,pea
inusitatus,peculiar
paedagogia,pedagogy
paedicatio,pederasty
paediatria,pediatrics
paidóphilus,pedophile
paidophília,pedophilia
efuse,pell-mell
graphium,pencil
cogitans,pensive
populus,population
perceptio,perception
perfectus,perfect
perfectio,perfection
peripheria,periphery
perjurium,perjury
diuturnus,permanent
persecutor,persecutor
assíduus,persistent
privatus,personal
personam-esse,personhood
persuasio,persuasion
Peruvia,Peru
Peruvianus,Peruvian
perversus,pervert
pessimismus,pessimism
imaginosus,phantastic
miríficus,phenomenal
phaenomenicus,phenomenic
philosophia,philosophy
phonematicus,phonemic
phoneticus,phonetic
phonógraphum,phonograph
photographia,photograph
oratio,talk
physicus,physical
physica,physics
physiologia,physiology
pictura,picture
frustum,piece
frustátim,piecemeal
pietismus,pietism
peregrinus,pilgrim
píllula,pill
gubernator,pilot
fístula,pipe
piraticus,piratical
ballistula,pistol
urna,pitcher
scriblita,pizza
locatio,placement
pestis,plague
planta,plant
púlpitum,platform
Platonicus,Platonic
Platonismus,Platonism
fábula,play
platéa,plaza
amoenus,pleasant
quaeso,please
voluptas,pleasure
plebéjus,plebeian
arátrum,plow
pluralis,plural
pluralismus,pluralism
multipicitas,plurality
plutocratia,plutocracy
internecio,pogrom
supervacuus,pointless
venenum,poison
venenatus,poisonous
Pólonus,Pole
vigiliarius,police
Polonicus,Polish
politicus,political
respublica,politics
polyádicus,polyadic
multísonus,polyphonic
mmultivalens,polyvalent
stagnum,pond
pontificalis,pontifical
pauper,poor
popularis,popular
populismus,populism
gestabilis,portable
Lusitania,Portugal
Lusitanus,Portuguese
certus,positive
expresse,positively
positivismus,positivism
possessivus,possessive
possibilis,possible
postmodernus,postmodern
postbellicus,postwar
olla,pot
solánum,potato
potentialis,potential
válidus,powerful
pragmaticus,pragmatic
pragmatismus,pragmatism
contionátor,preacher
praeámbulum,preamble
praeámbulus,preambular
precarius,precarious
praegressio,precedence
praecedens,preceding
pretiosus,valuable
praecise,precisely
exactitudo,precision
praedicatum,predicate
praedictio,prediction
prolegomenon,preface
potius,rather
praepositio,preference
graviditas,pregancy
gravida,pregnant
praejudicium,prejudice
praelusio,prelude
praematurus,premature
praemissa,premise
praenatalis,prenatal
praenota,prenote
instans,urgent
expósitor,presenter
póstmodum,presently
putativus,supposed
vulgatus,prevalent
anticipatio,preview
antehac,previously
pretium,worth
superbia,pride
sacerdotium,priesthood
prístinus,primal
primordie,primally
principissa,princess
principalis,principal
principium,principle
impresorium,printer
privatim,privately
privatio,privation
privilegium,privilege
privilegiatus,privileged
verisimilis,probable
probabiliter,probably
quaestio,question
ratio,reasoning
productum,product
profánus,profane
professio,profession
professor,professor
figura,profile
progressio,progress
projectio,projection
promissio,promise
bonae,promising
eloquior,pronounce
adminiculum,prop
propagatio,propaganda
propensio,propensity
proprie,strictly
prophetía,prophecy
prophéticus,prophetic
proponens,proponent
proportio,ratio
prosaicus,prosaic
prosa,prose
tutela,protection
proteinum,protein
recusatio,refusal
Protestans,Protestant
reclamator,protestor
protocóllum,protocol
tabularius,protocol
superbus,proud
demonstrabilis,testable
Provincialis,ProvenÃ§al
providentia,providence
próvidus,provident
prudentia,prudence
pseudónymum,pseudonym
psychiatria,psychiatry
psýchicus,psychic
psychologia,psychology
psychoticus,psychotic
publicatio,publicity
editor,publisher
ántlia,pump
poena,punishment
poenarius,punitive
puncianus,punk
puppa,puppet
purus,pure
purgatorium,purgatory
persecutio,pursuit
protervus,pushy
qua,qu
quantum,quantum
quanticus,quantum
altercatio,quarrel
quasi,quasi
quaesitio,quest
perquiro,quest
quaesítum,question
Quichoticus,quixotic
quaestiúncula,quiz
dictum,saying
rabbínus,rabbi
rabbinicus,rabbinic
phyléticus,racial
discriminator,racist
radiatio,radiation
innatus,radical
radícitus,radically
radiophonium,radio
ferrívia,railroad
pluvia,rain
divulgatus,rampant
fortúitas,randomness
stuprum,rape
temerarius,reckless
temeritas,rashness
rationalis,rational
ratione,rationally
crudus,raw
reactio,reaction
reactorium,reactor
promptitudo,readiness
lectio,reading
realis,real
realismus,realism
realisticus,realistic
realitas,reality
realiter,really
regnum,reign
prudens,reasonable
rebellio,rebellion
seditiosus,subversive
redargutio,rebuttle
recensio,review
monadia,recital
témere,recklessly
magnetophonium,recorder
incisio,recording
recreatio,recreation
recursivus,recursive
redemptibilis,redeemable
redemptor,redeeming
redemptio,redemption
coartatus,reductive
iterum,reevaluate
mentio,reference
denotadum,referent
amandatio,referring
recíprocus,reflexive
refutatio,refutation
regionalis,regional
regrediens,regressive
paenitentia,repentance
ordinarie,regularly
regulativus,regulative
rejectio,rejection
relapsio,relapse
relativus,relational
cognatus,relative
comparate,relatively
relativismus,relativism
relativitas,relativity
relaxio,relaxation
liberatio,release
appositio,relevance
pertinenter,relevantly
religiosus,religious
adversatio,reluctance
residuum,remainder
réliquus,remaining
insigníter,remarkably
remedium,remedy
memoratus,remembered
commonitio,reminder
reliquum,remnant
remote,remotely
amotio,removal
renovatio,renewal
redivívus,renewed
idéntidem,repeatedly
repertorium,repertory
repetitio,repetition
relator,reporter
coércitus,repressive
reptilis,reptile
republicanus,republican
asper,repugnant
rogatum,request
requisitus,required
investigatio,research
investigatorius,research
investigator,researcher
iracundus,resentful
tectus,reserved
habitans,resident
reverens,respectful
ceterus,rest
requiesco,rest
refector,restorer
restringo,restrict
circumclusus,restricted
revocatio,retraction
revelatorius,revealing
revelatio,revelation
ultio,revenge
recognitio,survey
manuballistula,revolver
premium,reward
ozyra,rice
díviter,richly
sclopetum,rifle
rígidus,rigid
rigor,rigor
periculum,risk
ritualis,ritual
aemulus,rival
latrocinium,robbery
robotum,robot
roboticus,robot
saxum,rock
virga,rod
munus,role
Románicus,romanesque
amatorius,romantic
Roma,Rome
cubículum,room
fere,roughly
rotundus,round
assuetus,routine
insolens,rude
pernícies,ruin
regula,rule
Dacoromanus,Rumanian
cursura,running
Russus,Russian
Russicus,Russian
robiginosus,rusty
sacramentum,sacrament
aedituus,sacristan
maestus,sad
sella,saddle
sadismus,sadism
sádicus,sadistic
tuto,safely
velum,veil
venditio,sale
sanctio,sanction
crépida,sandal
Sánscritus,Sanscrit
Jacopópolis,Santiago
dicáculus,sarcastic
acerbus,sour
satanicus,satanic
sátura,satire
satiricus,satirical
contentus,satisfied
saturatio,saturation
ferus,wild
serra,saw
scandalum,scandal
flagitiosus,scandalous
paucitas,scarceness
terríbilis,scary
scaena,scene
scena,scenery
diem,schedule
horarium,schedule
schematicus,schematic
schismaticus,schismatic
schola,school
scholaris,school
scientificus,scientific
scientismus,scientism
derisor,scoffer
contemptio,slight
contemptim,scornfully
Scotus,Scot
Caledonius,Scotch
scotismus,Scotism
Caledonia,Scotland
quadrum,screen
scriba,scribe
scrupulus,scruple
sigillum,seal
exploratorius,searching
secessio,secession
secunda,second
secretum,secret
clam,secretly
factiosus,sectarian
tutus,secure
securitas,security
segmentum,segment
selectus,select
selectio,selection
ipseitas,selfhood
semanticus,semantic
semestris,semester
semiologia,semiology
Semíta,Semite
Semiticus,Semitic
sensus,sensation
sensibilis,sensitive
cordate,sensibly
sexualis,sexual
sensualismus,sensualism
separatus,separate
perpendiculum,vertical
serio,seriously
fámulus,servant
servatrum,server
classis,set
scenographicus,set
incommoditas,setback
complures,several
dure,severely
sexualitas,sexuality
umbra,shadow
quassatio,shaking
tenuis,shallow
capitilavium,shampoo
participatio,share
pluteus,shelf
permutatio,shift
naufrágium,shipwreck
túnica,shirt
brevis,short
compedium,shortcut
tachygraphia,shorthand
mox,soon
acútus,shrewd
tímidus,shy
subsignatio,signature
silentium,silence
stultus,silly
argentum,silver
argenteus,silver
simplicitas,simplicity
facilius,simplify
simpliciter,simply
peccatum,sin
cándidus,sincere
peccaminosus,sinful
cantor,singer
unus,single
singularis,unique
labellum,sink
sísmicus,sismic
scepticus,skeptic
adumbratio,sketch
narta,ski
cutáneus,skin
alauda,skylark
calumnia,slander
diagónium,slash
trucidatio,slaughter
servus,slave
Slavicus,Slavic
obnoxiosus,slavish
somniculósus,sleepy
mánica,sleeve
exiguus,tiny
parum,slightly
lúbricus,tricky
lentius,slower
tarde,slowly
callídulus,sneaky
sternutamentum,sneeze
fastidiosus,snob
níveus,snowy
silus,snub-nosed
ideo,so
socialis,social
socialismus,socialism
sociologia,sociology
Socraticus,Socratic
mollis,soft
mollitia,softness
solidus,solid
solipsismus,solipsism
monodiarius,soloist
solutio,solution
nodum,solve
solubilis,solveable
aliquis,some
quodámmodo,somehow
aliquando,sometime
intérdum,sometimes
aliquantum,somewhat
alícubi,somewhere
echogoniómetrum,sonar
sonatum,sonnet
venéficus,wizard
digestus,sortal
anima,soul
exploratio,sounding
fontalis,source
meridianus,south
meridionalis,southern
Sovieticus,Soviet
sideralis,spacial
illocalis,spaceless
Hispanus,Spaniard
subsicivus,spare
parcus,sparing
scintilla,spark
locútor,speaker
hasta,spear
specialis,specific
spectrum,spectrum
méditor,speculate
loquela,speech
sermocinalis,speech
rapiditas,speed
orthographia,spelling
sphaera,sphere
sphaericus,spherical
spiritualis,spiritual
sputum.,spit
fissura,split
bífidus,split
agonisticus,sport
vernus,spring
speculator,spy
rixa,squabble
quadratum,square
stabilis,stable
stábulum,stable
contubernium,staff
admissarius,stallion
positio,stance
receptus,standard
stella,star
sidereus,starry
affirmatio,statement
stativus,static
immotus,unmoved
rationarium,statistics
statua,statue
mansio,visit
chalybs,steel
chalybéjus,steel
stelláris,stellar
noverca,stepmother
privignus,stepson
stereótypus,stereotype
sterilis,sterile
sterilitas,sterility
báculum,stick
adhuc,still
fóétidus,stinking
stápia,stirrup
punctum,stitch
Stoicus,Stoic
Stoicismus,Stoicism
stola,stole
siste!,stop!
taberna,store
fabula,story
váricus,straddler
nixus,strain
lorum,strap
pálea,straw
vena,streak
strictus,tight
discordia,strife
operistitium,strike
linum,string
consectatio,striving
valide,strongly
studens,student
scholicus,student
stúpidus,stupid
balbútio,stutter
subcultura,subcultura
servitium,subjection
malesanus,subnormal
subnotator,subscriber
subscriptus,subscript
ínsequens,subsequent
subaggregatum,subset
subsidium,subsidy
subsistens,subsistent
substantia,substance
substratum,substrate
súbtilis,subtle
suburbium,suburb
suburbanus,suburban
successio,succession
continuus,successive
successor,successor
talis,such
talitas,suchness
subitus,sudden
súbito,suddenly
dolorosus,suffering
miseriae,sufferings
sáccharum,sugar
capitulatim,summarily
summarium,summary
aestivus,summer
ápricus,sunny
tollo,supersede
superintentor,supervisor
cena,supper
fulciens,supportive
pone,supposing
exploratum,sure
certe!,sure!
certe,surely
superficialis,surface
chirúrgia,surgery
superrealismus,surrealism
succedaneus,surrogate
superviventia,survival
supérstes,surviving
suspectus,suspicious
suspicax,suspicious
Suetus,Swede
Suetia,Sweden
Sueticus,Swedish
dulcedo,sweetness
Helveticus,Swiss
mutatrum,switch
túmidus,swollen
juratus,sworn
syllogismus,syllogism
symbolicus,symbolic
symbolismus,symbolism
sympathía,sympathy
symposium,symposium
sýnchronus,synchronic
syncretismus,syncretism
synónymum,synonym
synonymus,synonymous
syntacticus,syntactic
syntheticus,synthetic
Syríacus,Syriac
systematicus,systematic
tabacum,tabacco
mensa,table
tacite,tacitly
vestítor,tailor
susceptio,takeover
garrulus,talkative
implicatio,tangle
Taoismus,Taoism
taenia,tape
tautologia,tautology
vestíficus,taylor
thea,tea
dócilis,teachable
doctor,teacher
didascalicus,teaching
turma,team
artis,technical
technologia,technology
teleologia,teleology
telephonicus,telephone
telescopium,telescope
televisio,television
televisíficus,television
templum,temple
temporalis,temporary
temptatio,temptation
credíbile,tenet
teniludium,tennis
tempus,while
tentorium,tent
terrorismus,terrorism
terrorista,terrorist
terrorísticus,terrorist
Texianus,Texan
Texia,Texas
theatralis,theatrical
furtum,theft
theismus,theism
tunc,then
illinc,therefrom
theocrátia,theocracy
theocraticus,theocratic
theodicéa,theodicy
theológia,theology
theophánia,theophany
theória,theory
therapia,therapy
exinde,thereafter
fur,thief
subtílis,thin
cogitabilis,thinkable
hodie,today
haecceitas,thisness
Thomismus,Thomism
ínteger,thorough
cogitatio,thought
cogitabundus,thoughtful
minatio,threat
formidulosus,thrilling
téssera,watchword
tégula,tile
intemporalis,timeless
tempestivitas,timeliness
tempestivus,timely
alio,to
propinatio,toast
conjuncti,together
sédulo,toil
aerumna,toil
latrina,toilet
toleration,toleration
cras,tomorrow
quoque,too
ferramentum,tool
topographia,topography
summa,total
turismus,tourism
turisticus,tourist
erga,toward
manutergium,towel
toxicologia,toxicology
lúdicrum,toy
vestigium,trace
traditio,tradition
tragóédia,tragedy
excriptum,transcript
transexualis,transexual
transvectio,transfer
transitorius,transient
transitivus,transitive
viator,traveler
perfidia,treachery
motus,trend
natio,tribe
titivillitium,trifle
triplex,triple
trivialis,trivial
caterva,troop
tropicus,tropica
verus,true
fiducia,trust
veritas,truth
veritatis,truth
verax,truthful
conatum,try
túbulus,tube
tumor,tumor
Turca,Turk
Túrcia,Turkey
conversio,turn
vicissitudo,turnover
crepusculum,twilight
bivalens,two-valued
typographicus,type
typicus,typical
omnipraesentia,ubiquity
foedus,ugly
ultimitas,ultimacy
postremus,ultimate
definitive,ultimately
umbilicaris,umbilical
umbella,umbrella
sollicitus,uncanny
inexploratus,unchecked
sub,underneath
subúcula,underwear
immeritus,undeserved
ineducatus,uneducated
iniquus,uneven
iniquitas,unevenness
inprovisus,unexpected
explicatio,unfolding
improvisus,unforeseen
necopinatus,unforeseen
expedítus,unhindered
aequabilis,uniform
aequabilitas,uniformity
unificus,unifying
unice,uniquely
universalis,universal
universitarius,university
unívocus,univocal
univocitas,univocity
injustus,unjust
injuste,unjustly
ignorantia,unknowing
ignotus,unknown
innominatus,unnamed
ingratus,unpleasant
indemonstratus,unproven
irrealis,unreal
inconcussus,unshaken
insolubilis,unsolvable
insolutus,unsolved
indefensibilis,untenable
inustitatus,unusual
invitus,unwilling
eversio,upheaval
elegantes,upscale
sursum,upwards
urbanus,urban
urbanitas,urbanity
instanter,urgently
usus,use
utens,user
utilitas,utility
utopia,utopia
vagus,vague
obscuritas,vagueness
vanus,vain
valentia,valence
ratus,valid
validitas,validity
válvula,valve
variabilis,variable
varietas,variety
varie,variously
magnetoscopium,VCR
vehiculum,vehicle
vehicularis,vehicle
venerabilis,venerable
Venetíola,Venezuela
Venetiolanus,Venezuelan
verbalis,verbal
ádmodum,very
vétitum,veto
Phíala,vial
vicarius,vicar
vicarianus,vicarious
proregius,viceregal
prorex,viceroy
víctima,victim
victor,victorious
videotaenia,videotape
spectator,viewer
vigilium,vigil
violatio,violation
violentus,violent
violina,violin
viralis,viral
virtualis,virtual
propémodum,virtually
virtuosus,virtuous
visibilis,visible
visualis,visual
vitalis,vital
vitalismus,vitalism
vitaminum,vitamin
vocativus,vocative
sonórus,voiced
vulcanus,volcano
voluntarius,volunteer
vuduismus,voodooism
suffragium,vote
scopophilia,voyeurism
plebejus,vulgar
turpitudo,vulgarity
plaustrum,waggon
Vallia,Wales
bellígerus,warlike
confirmatus,warranted
profusio,waste
pródigus,wasteful
modus,way
imbecíllus,weak
enervation,weakening
deterior,weaker
imbecillitas,weakness
curator,webmaster
hebdomadalis,weekly
acceptus,welcome
opitulatio,welfare
salvus,well
occidentalis,western
mádidus,wet
balaena,whale
quando,when
unde,wherefrom
quandocumque,whenever
ubi,where
quo,whither
ubicumque,wherever
vischium,whiskey
exsibilatio,whistle
albus,white
totum,whole
integre,wholly
late,widely
volúntas,will
Guilelmus,William
libens,willing
volitio,willing
libenter,willingly
fenestra,window
hiemalis,winter
filum,wire
sapientia,wisdom
sapientialis,wisdom
sapiens,wise
venéfica,witch
sine,without
mulierarius,womanizer
lignum,wood
ligneus,wooden
opus,work
labor,work
officina,workshop
mundialis,world-wide
mundanus,worldly
sollícitus,worried
pejor,worse
cultor,worshipper
inanis,worthless
radii-x,x-rays
xenóphobus,xenophobe
xenophobia,xenophobia
quotannis,yearly
flavus,yellow
ita,yes
heri,yesterday
cessio,yielding
júvenis,young
zebra,zebra
vivarium,zoo
zoologia,zoology
zygótum,zygote
