stipatio,kümeleme
sanctus,kutsal kut.
domesticus,Eve ev ev .
homilia,homily
homónymum,homonym
homosexual.,eşcinsel e.
probus,Dürüst dür.
próbitas,dürüstlük
honorábili.,şerefli şe.
honeste,şerefli şe.
caputium,hood
spei,Umarım umu.
desperatus,umutsuz um.
desperante.,umutsuz bi.
horizontal.,yatay yata.
valetudina.,hastane ha.
hostilitas,Düşman düş.
deversoriu.,inn
Hustonia,Houston Ho.
tugurium,Şack
áttamen,Bununla bi.
immensus,sınırsız s.
miséricors,insan
humanismus,İnsancılık
humanistic.,Humanistic
humanitas,İnsanlık
húmilis,mütevazı m.
quotidianu.,humdrum
suspicio,hunch
Húngarus,Macar
Hungaria,Macaristan.
esúriens,aç
venatio,avlanma av.
venator,avcı avcı .
hydrógenum,hidrojen h.
salubritas,hijyen hij.
salutaris,hijyenik h.
hypertextu.,hipertext
hypnoticus,hipnotic
Hiberia,Iberia
Hibericus,Iberian
iconomachi.,iconoclasm
iconoclast.,ikonoclast
idealismus,İdealizm
idealistic.,İdealist
ideatio,Fikir
identitas,Aynılık
ideologia,ideoloji i.
idolatricu.,idol
idolatria,idol
inscientia,cehalet ce.
ínsciens,cahil cahi.
illegalis,yasadışı y.
analphabet.,Hastalik
illogicus,İronik
lustro,Aydınlatma
illuminism.,Işıkçılık
hallucinat.,illüzyon i.
translatio,imajry
imitatio,taklit
immanentia,immanence
ímmanens,Immanent
immaterial.,Parafis
immaturus,Immature
immediatio,Immediacy
praesens,Hemen heme.
immersio,immersion
immódicus,Immode
impudícus,Immodest
immoralis,ahlaksızlı.
immortalis,ölümsüz öl.
immutabili.,Immutable
impactio,Etki etkis.
ínvius,Impassible
impatienti.,Impatit
imperativu.,Gereklilik
imperialis,emperyaliz.
impersonal.,Şahsen
tacitus,tacitt
tácite,Yemin eder.
implosio, imp
dicit,ima ima im.
significat.,öneminin ö.
impossibil.,imkansız i.
commotus,Etkilenen .
impressio,izlenim iz.
inverisimi.,imkansız
ineptus,uygunsuz u.
extemporal.,İyileştiri.
inopia,Inability
inactuosus,Inaktif
insuffiens,yetersiz y.
quátenus,Inasmuch
endogámicu.,Inbred
endogámia,Selam olsu.
incarnatus,Incarnate
incitament.,teşvik teş.
adventiciu.,Olay
inclusus,included i.
comprehens.,kapsayıcı .
imperfectu.,Bitmemiş b.
incredibil.,İnanılmaz .
vere,Gerçekten .
incertus,belirsiz b.
incisura,Indent
endeixicus,Indexical .
Indus,Hint Hint .
Indoameric.,Hint Hint .
indicativu.,Indicative
patrius,Yerli yerl.
indignabun.,Yalnızlık
obliquus,dolaylı do.
inconsultu.,Indiscreet
individuum,bireysel b.
inductio,indüksiyon
indulgenti.,şımarıklık
industrial.,endüstriye.
ineffábili.,Ineffablea.
disaequati.,eşitsizlik.
inevitabil.,kaçınılmaz.
necessario,kaçınılmaz.
inexorabil.,Inexorable
infallibil.,Infallible
infamis,Yemin eder.
consequent.,Inference
infinítus,sonsuza de.
infinitas,sonsuza de.
infinitivu.,Infinitive
infínitas,Infinity
inflátus,Inflated
rarus,nadir nadi.
habitatus,Büyüyen ye.
inhibitio,engellenme
primus,birincil b.
motivus,hareketli .
initiatio,inisiyatif.
initiator,Initiator
injustitia,adaletsiz .
atramentum,ink
intus,içeride
interior,İç iç iç i.
innocentia,masum masu.
innovatori.,Innovating
innovatio,inovasyon .
inorganicu.,inorganik .
inspectio,soruşturma.
insanus,deli
insanitas,delilik
insectum,böcek böce.
instabilis,güvensiz
interposit.,Müdahale m.
perspicien.,anlayış
instantia,ısrarla
exemplum,Örnek örne.
momentum,Şimdi an
instrument.,Araçlar ar.
insuláris,Insular
contumelia,hakaret ha.
necessariu.,integral i.
acer,yoğun yoğu.
intentio,objektif o.
embolium,Etkileşim .
temporariu.,çadır
internitas,Inwardness
interludiu.,Interlude
Interretia.,İnternet İ.
intervallu.,durak dura.
intérsum,müdahale m.
percontati.,röportaj
intime,samimi ola.
contortus,karmaşık
intuitivus,sezgisel s.
irritus,geçersiz
incursio,işgal isti.
adinventum,icat icadı
adinventor,mucit muci.
inversus,inverse
reflexim,Aksine
invisibili.,görünmez g.
invitatio,davet dave.
implicátus,Katılımcı .
Hibernia,İrlanda İr.
Hibernius,İrlandalı .
irónicus,ironik
ironía,irony
irrational.,irrasyonel.
irregulari.,düzensiz
Islamismus,İslam İsla.
Islamicus,İslam İsla.
ínsula,ada adası
insulánus,Adaer
solitarius,izole izol.
solitudo,Atıkland
isomorphic.,isomorphic
Israelianu.,İsrail İsr.
exemplar,Sorun soru.
Italus,İtalyan İt.
Italicus,İtalyan İt.
Itália,İtalya İta.
itinerariu.,itinerarya.
eburneus,ivory
Japania,Japonya Ja.
Japaniensi.,Japon Japo.
Jesuiticus,Jesuit
Judaeus,Yahudi Yah.
Judáéa,Yahudi Yah.
Judáicus,Yahudi Yah.
conjunctio,Ortak orta.
gaudium,sevinç sev.
Judaeismus,Judaism
judicium,Duruşma da.
judicialis,yargı yarg.
jurisperít.,jurist
justus,Sadece sad.
justitia,Adalet ada.
cerygmatic.,kerygmatik
claviatura,klavye
chilometru.,kilometre
propinqui,kin
benigne,nazik nazi.
benignitas,nezaket
ósculum,öpücük
culína,mutfak mut.
textura,Dalış
sollertia,beceri bec.
scibilis,Bilable
cógnitor,knower
cognitio,Bilgi bilg.
scienter,Bilmen
pittacium,etiket eti.
laboratori.,Laboratuva.
domina,bayan baya.
laicismus,Laikizm
laicisticu.,laicistici.
lucerna,lamba lamb.
órbita,yörünge yö.
magnus,Büyük büyü.
diutinus,kalıcı kal.
tardus,Yavaş yava.
sero,geç geç ge.
nuper,Son zamanl.
serius,Daha sonra.
Latine,Latin Lati.
Latinitas,Latin
lavándula,lavender
prátulum,Lawn
advocatus,avukat avu.
laicus,Yalancı
segniter,lazily
pigritia,laziness
praelectio,Ders dersi
lector,Öğretim Gö.
lectorium,lecturn
flexibilit.,leeway
laevus,Sol sol so.
legatum,miras mira.
legitimus,meme
legalismus,Yasallık
legalistic.,Yasal
jus,Yasallık
legislator,legislator
longitudo,uzunluğu u.
leprosus,leper
minus,Daha az da.
minor,Daha küçük.
minutio,Daha azleş.
documentum,Ahlaki ahl.
planus,seviye sev.
obnoxius,Sorumlu so.
liberalis,liberal li.
liberalism.,Liberalizm
bibliothec.,librarian
bibliothéc.,Kütüphane .
mendacium,Yalan yala.
vita,Yaşam haya.
levis,ışık ışığı
illuminati.,Aydınlatma.
fúlminat,yıldırım
verisímili.,Büyük olas.
similitudo,simile
item,Aynı şekil.
angustus,Sınırlı sı.
limitans,Limit limi.
linea,line line .
rótulus,liste list.
auscultati.,Dinle
litra,litre
litterariu.,edebi edeb.
litterae,edebiyat l.
paulum,Küçük küçü.
parvus,küçük küçü.
liturgicus,liturgical
liturgía,liturgy
vivus,Canlı yaşa.
victus,Canlı yaşa.
mutuum,Kredi kred.
invenibili.,locatable
situs,Bu daireni.
logica,mantık man.
logicus,mantıklı m.
solitárius,Yalnız yal.
age!,Bak!
laqueus,döngüsü
deverticul.,döngüsü
solutus,gevşek gev.
laxe,gevşek
amissio,kayıp kayb.
demissus,düşük düşü.
inferior,Daha düşük.
fidus,güvenilir .
fortuna,Şans şansı.
lunaticus,lunat
prandium,Öğle yemeğ.
Lutheranus,Lutheran
mendax,Yalan söyl.
machina,makine mak.
machinatio,Makine mak.
apex,tilde
mafianus,mafioso
magia,Büyüyü büy.
magneticus,manyetik m.
epistulae,posta post.
tabellariu.,postacı
praecipuus,Özel özel .
plurimi,Çoğu çoğun.
fabricator,Yapımcı
effectio,Üretim üre.
masculus,erkek erke.
forum,Pazar paza.
mammiferum,mammal
decursio,manevra
manuscript.,el yazma
multi,Çok fazla .
exigue,marjinal o.
marihuana,marihua
classiariu.,Deniz Deni.
nota,mülk mülk .
Martianus,Martian
martýrium,Selam
Marxianus,Marx
Marxismus,Marksizm M.
masculinus,manculine
sólidus,maskeleyic.
persona,Kişi kişi
personatus,Maskeli ma.
masora,maskora
masoreticu.,erkek
massa,kütle kütl.
intelligo,master mas.
materialis,Malzeme ma.
materia,tema temas.
maturatio,maturation
maturus,Olgun olgu.
maturitas,Olgunluk o.
maximus,maximal
fortasse,Belki belk.
significat.,anlam anla.
significat.,anlamlı an.
mensura,ölçüm ölçü.
mechanicus,Mechanic
machinalis,Mekanik me.
artificum,Mekanik Me.
mechanicis.,mekanizma .
medianus,medyan
mediatus,mediate
deprecator,mediator
medicina,Tıp ilacı
meditatio,Düşünmeyi .
congressio,Toplantı t.
mixtura,Mix
membrum-es.,üyelik üye.
membrana,doku dokus.
memoria,hafıza haf.
mentalis,Zihinsel z.
ingenium,wit
conductici.,İcenary
mercator,tüccarlar
mere,Sadece sad.
laudabilis,İngilizce
nympha,mermaid
messianicu.,messianic
metabolicu.,metabolik .
metabolism.,metabolizm.
metallum,benimki
metallicus,Metal meta.
metrum,metre
methodicus,metodoloji.
Methodismu.,Yöntemizm
accuratus,titiz titi.
Méxicum,Meksika Me.
microbium,mikrobe
microphoni.,mikrofon
microscopi.,mikroskop
migratoriu.,migratory
militaris,askeri ask.
millenium,Plantenium
amens,Zihinsiz
mineralis,Mineral mi.
minimus,minimal mi.
diminutio,minimi
minimum,minimum mi.
minuta,dakika dak.
portentosu.,mucize muc.
miráculum,mucizevi m.
speculum,Ayna Ayna
infortuniu.,talihsizli.
missionali.,Görevary
error,hata hatas.
false,yanlışlıkl.
mitigatio,mitigation
misceo,mix mix
miscellus,karışık ka.
modalis,modal
modalitas,modality
recens,Son zamanl.
modernismu.,Modernizm
modernitas,Modernite
módicus,mütevazı m.
Mahometanu.,Muhammed
mahometanu.,Muhammed
molécula,molekül mo.
súbitus,Hızlı hızl.
monádicus,Bir yer
monadologi.,monadology
monarchia,monarşi mo.
monasteriu.,manastır m.
monasticus,monastic
monetarius,Para para .
pecunia,Para para .
monismus,monism
monitorium,monitörü m.
monachus,monk
monographi.,Monograph
monopolium,tekel teke.
monotheism.,monotheism
monotonus,monoton mo.
monotonia,monoton
incertum,moot
moralis,Ahlaki ahl.
moralismus,Ahlaki
moralitas,Ahlaki ahl.
ínsuper,Daha fazla.
matutinus,sabah saba.
morphologi.,morfoloji
mortalis,ölümlü ölü.
mortalitas,mortalite .
plerique,En çoğu
plerumque,veya
tínea,Moth
motivatio,motivasyon.
motorium,motor moto.
autobírota,motosiklet.
motor,Mover
taeníola,Film
multitudo,Çok sayıda.
Monachium,Münih
necator,katil kati.
musculósus,muscula
museum,Müze müzes.
musicus,müzikal mü.
Muslimus,Müslüman M.
subium,mustache
repressio,muzzle
arcanus,gizli gizl.
mysterium,gizem
mythicus,Mitical
ingenuitas,naifte
scilicet,Yani
meridiatio,nap
mappa,pekin
narcoticus,narcotic
narrativus,anlatı
turpis,vile
nationalis,ulusal ulu.
naturalis,Doğal doğa.
naturalism.,Doğallık
naturalita.,Doğallık
natura,Doğa doğas.
naturismus,naturismis.
ímprobus,Utansız ut.
nausea,Duymak
immo,nay
necessitas,aciliyet
egens,needy need.
negativus,negatif ne.
vicínus,komşu komş.
nec,Ne de ne d.
neologismu.,Neologizm
neothomism.,Neothomism
intentus,gergin
reticulum,ağ ağ ağ a.
neutralism.,tarafsızlı.
neutrinum,neutrino
diarium,Gazete gaz.
diurnarius,Gazete gaz.
Neotonianu.,Newtonian
proximus,Bir sonrak.
inde,Bir sonrak.
bellus,Oldukça gü.
Nicaenus,Nicene
nicotinum,Nikot
véspere,gece yarıs.
nihilismus,nihilizm
nirvana,nirvana
non,Değil deği.
noética,Noetics
clamosus,gürültülü .
nomadicus,Nomadic
nominalis,nominal no.
nominalism.,nominalizm
nomine,nominal ol.
haud,olmayanlar
absurdum,saçmalık
norma,standart s.
normalis,Normal nor.
normativus,normatif n.
septentrio.,kuzey kuze.
nostalia,nostalji
nostalgicu.,nostaljik
notandus,Önemli not.
praeprímis,Özellikle .
notatio,not not no.
nihil,sıfır sıfı.
animadvers.,Remark
notabilis,belirgin f.
notus,Notorius
novicius,roman roma.
novitas,yenilik
novitiatus,Hayır
nunc,Şimdi şimd.
nusquam,Hiçbir yer.
nuclearis,Nükleer Nü.
nudus,nude
numerus,Sayı sayıs.
mónacha,Rahibe Rah.
nutritio,beslenme b.
oboedienti.,Bağımlılık
oboediens,itaatkar i.
oboediente.,itaatkar o.
gynecólogu.,OBGYN
objectum,nesne nesn.
objectio,itiraz iti.
objectivus,objektif o.
oblatio,Teklif tek.
obscure,Bilinçli b.
attentus,observant
observator,Gözlemci g.
obsolétus,Eski eski .
patens,açık açık .
occasio,fırsat
octava,octave
insólitus,garip gari.
insolentia,garip
odysséa,odyssey
extinctus,kapalı
offensa,Suç suç
oppugnatio,saldırgan .
oblatum,Teklif tek.
dicasteriu.,ofis ofisi
publice,Resmi resm.
saepe,Sık sık sı.
óleum,petrol yağ.
petroleari.,petrol yağ.
bene,Tamam tama.
oligarchia,Oligarchy
ominosus,Selam olsu.
praetermis.,Omission
omnípotens,Her neyse
omnísciens,Her neyse
accensus,Onda
utrólibet,Onda
semel,Bir kez bi.
univalens,Bir-
luscus,One-eyed
nonnisi,Sadece sad.
accessio,onset
onticus,ontic
ontologism.,Onlogizm
ontologia,Ontoloji
apertum,Açılış açı.
apertio,Açıklık
palam,Açık açık .
contrarium,tersini te.
contra,tersi
vexatio,Baskı bask.
ópticus,Optik opti.
óptimus,optimal op.
optimismus,iyimser iy.
optimistic.,iyimser iy.
optio,seçenek se.
eligibilis,Seçmeli op.
orchestra,orkestra o.
orchestral.,orkestra
ordinalis,ordinal
ordinarius,Düzenli dü.
organicus,Organik or.
ordinatus,organize o.
instructor,organizatö.
novus,orijinal o.
initio,Başlangıçt.
inceptor,Muhor
orthodoxus,Orthodox
orthodoxia,veya
alteritas,Diğer
secus,Aksi halde.
eruptio,Öpün
excursio,Seyahat
proscriptu.,outlaw
priscus,outmoded
nefastus,tabu
extrernus,Dış dış dı.
extra,Dış dış dı.
foris,Dış dış dı.
ovarium,ovary
obumbrare,Aşırı gölg.
praecentio,Overture o.
propter,O
Oxonium,Oxford Oxf.
oxygenium,oksijen ok.
ozonium,ozon
pacifismus,pacifism
paganus,Pagan
paganismus,Paganizm
pagina,Sayfa sayf.
paginalis,Sayfa sayf.
dolor,Acı ağrı
tabula,resim boya.
graphicus,resim boya.
conjungo,çift çift .
regia,Saray Sara.
pállidus,Pale
pallitudo,Selam
palpábilis,Sopable
sessio,seans sean.
pánicum,Pan panik
pantheismu.,Pantheism
pontificiu.,Papal
chartáceus,Kağıt
pompa,Parade
paradóxum,paradoksal.
parallelus,paralel pa.
similitudi.,Paraleller.
paralogism.,Paralogizm
paralýticu.,Paraolitik.
parasíticu.,Parasitic
paroecia,parish
Parisiensi.,Paris
viridarium,park park .
paroeciali.,Parochial
paródia,parody
parcitas,parsimony
apium,parsley
partim,kısmen kıs.
participiu.,katılımcı
particula,Parçacık p.
particular.,Özellikle .
collusor,ortak orta.
pascalis,pascal
progreditu.,Geç geçiş
ardens,tutkulu tu.
passivus,pasif pasi.
passivitas,Geçiş
signum,sinyal sin.
praeteritu.,Geçmiş geç.
pasta,makarna
pastoralis,papaz
sémita,sidewalk
patheticus,Yoletik
patientia,Sabırlı sa.
patiens,Sabırlı ha.
área,veranda ve.
patricius,patrician
patristicu.,Patristic
patrologia,Patroloji
patrócinor,patron
patrociniu.,patronaj
pisum,pea
inusitatus,tuhaf gari.
paedagogia,Peder
paedicatio,Pederasty
paediatria,Pediatri
paidóphilu.,Pedofili
paidophíli.,Pedofili
efuse,pell-mell
graphium,kalem kale.
cogitans,Kalem
populus,Nüfus nüfu.
perceptio,algı algı .
perfectus,Mükemmel m.
perfectio,Mükemmel m.
peripheria,periphery
perjurium,Yararlı
diuturnus,Kalıcı kal.
persecutor,persecutor
assíduus,kalıcı kal.
privatus,kişisel ki.
personam-e.,personhood
persuasio,persuasion
Peruvia,Peru Peru .
Peruvianus,Peruvian
perversus,pervert
pessimismu.,Pessimizm
imaginosus,phantastic
miríficus,fenomenler
phaenomeni.,phenomenic
philosophi.,Felsefe fe.
phonematic.,Telefonmik.
phoneticus,telefon
phonógraph.,phonograf
photograph.,fotoğraf f.
oratio,Konuşma ko.
physicus,Fiziksel f.
physica,fizik fizi.
physiologi.,fizyoloji .
pictura,Resmi resi.
frustum,parça parç.
frustátim,parça parç.
pietismus,Latism
peregrinus,pilgrim
píllula,hap haplar.
gubernator,pilot pilo.
fístula,boru boru .
piraticus,piratical
ballistula,tabanca ta.
urna,pitcher
scriblita,pizza pizz.
locatio,yerleştirm.
pestis,-
planta,bitki bitk.
púlpitum,platform p.
Platonicus,Platon
Platonismu.,Platonism
fábula,oyun oyunu
platéa,plaza
amoenus,hoş hoş ho.
quaeso,Lütfen lüt.
voluptas,zevk zevk .
plebéjus,plebeian
arátrum,plow
pluralis,Genellikle.
pluralismu.,Çoğutizm
multipicit.,Çoğulluğun.
plutocrati.,plutokrasi
internecio,pogrom
supervacuu.,anlamsız n.
venenum,Zehirli ze.
venenatus,zehirli ze.
Pólonus,Pole
vigiliariu.,Polis poli.
Polonicus,Polonya Po.
politicus,siyasi siy.
respublica,Siyaset po.
polyádicus,Polyadic
multísonus,Polyphonic
mmultivale.,Polyvalent
stagnum,Havuz
pontifical.,pontifical.
pauper,fakir faki.
popularis,popüler po.
populismus,populizm
gestabilis,taşınabili.
Lusitania,Portekiz P.
Lusitanus,Portekiz P.
certus,Olumlu olu.
expresse,Olumlu olu.
positivism.,poziaktivi.
possessivu.,hasive
possibilis,Olası mümk.
postmodern.,postmodern.
postbellic.,Savaş sonr.
olla,pot
solánum,patates
potentiali.,Potansiyel.
válidus,Güçlü güçl.
pragmaticu.,pragmatik .
pragmatism.,pragmatism
contionáto.,vaiz
praeámbulu.,Preamble
praeámbulu.,prevallar
precarius,Precarious
praegressi.,Önceki Önc.
praecedens,Önceki Önc.
pretiosus,değerli de.
praecise,Tam olarak.
exactitudo,Hassasiyet
praedicatu.,Predic
praedictio,tahmini ta.
prolegomen.,Preface
potius,oldukça te.
praepositi.,tercih ter.
graviditas,Pregancy
gravida,hamile ham.
praejudici.,önyargı ön.
praelusio,Prelude
praematuru.,Erken prem.
praemissa,premise
praenatali.,prenatal
praenota,prenote
instans,acil acil .
expósitor,Presenter
póstmodum,Açıkçası
putativus, supposed
vulgatus,Yaygın yay.
anticipati.,önizleme
antehac,Daha önce .
pretium,Değer değe.
superbia,gurur guru.
sacerdotiu.,Rahiplik
prístinus,Primal
primordie,ilkel olar.
principiss.,Prenses
principali.,Prensip
principium,Prensip Pr.
impresoriu.,yazıcı
privatim,Özel olara.
privatio,özelleştir.
privilegiu.,ayrıcalık .
privilegia.,ayrıcalıkl.
verisimili.,olası olas.
probabilit.,Muhtemelen.
quaestio,Soru Soru .
ratio,Nedeni
productum,ürün ürün .
profánus,profane
professio,meslek mes.
professor,Profesör
figura,Profil pro.
progressio,ilerleme i.
projectio,projeksiyo.
promissio,söz vaadi
bonae,umut veric.
eloquior,telaffuz
adminiculu.,prop prop
propagatio,propaganda.
propensio,Adrisity
proprie,Kesinlikle.
prophetía,kehanet ke.
prophéticu.,Peygamber
proponens,proponent
proportio,oran oranı.
prosaicus,Prosaic
prosa,Prose
tutela,koruma kor.
proteinum,protein pr.
recusatio,Reddet red.
Protestans,Protestan .
reclamator,protestocu.
protocóllu.,protokol p.
tabularius,protokol p.
superbus,gurur guru.
demonstrab.,Test edile.
Provincial.,Proven
providenti.,Providence
próvidus,provident
prudentia,ud
pseudónymu.,amnym
psychiatri.,psychiatry
psýchicus,psişik psi.
psychologi.,Psikoloji .
psychoticu.,Psikotic
publicatio,Halklık
editor,Yayıncı
ántlia,pompa pomp.
poena,ceza ceza .
poenarius,Cümle
puncianus,punk
puppa,kukla
purus,saf saf sa.
purgatoriu.,purgatory
persecutio,Takip
protervus,pushy
qua,qu
quantum,kuantum ku.
quanticus,kuantum ku.
altercatio,Tartışma
quasi,deprem
quaesitio,Görev aray.
perquiro,Görev aray.
quaesítum,Soru Soru .
Quichoticu.,quixotic
quaestiúnc.,Test
dictum,De ki: "
rabbínus,ham
rabbinicus,Daniel
phyléticus,ırk ırk ır.
discrimina.,ırkçı ırkç.
radiatio,radyasyon .
innatus,Radikal ra.
radícitus,radikal ra.
radiophoni.,radyo rady.
ferrívia,demiryolu .
pluvia,Yağmur yağ.
divulgatus,rampant
fortúitas,rastgeleli.
stuprum,tecavüz
temerarius,pervasız
temeritas,Zayıflık
rationalis,rasyonel r.
ratione,rasyonel o.
crudus,ham
reactio,reaksiyon .
reactorium,reaktör re.
promptitud.,Hazırlık h.
lectio,okuma okum.
realis,Gerçek ger.
realismus,Gerçekizm
realisticu.,gerçekçi g.
realitas,Gerçek ger.
realiter,Gerçekten .
regnum,hükümdarlı.
prudens,makul maku.
rebellio,isyan isya.
seditiosus,Subversive
redargutio,Rebuttle
recensio,İnceleme i.
monadia,real
témere,Beksizce
magnetopho.,recorder
incisio,Kayıt Kayd.
recreatio,rekre rekr.
recursivus,Recursive
redemptibi.,Tamamlanab.
redemptor,Selam olsu.
redemptio,Selam olsu.
coartatus,Reductive
iterum,Reevaluate
mentio,referans r.
denotadum,referent
amandatio,Yemin eder.
recíprocus,refleksif
refutatio,Refutasyon
regionalis,Bölgesel b.
regrediens,Regreive
paenitenti.,Selam olsu.
ordinarie,düzenli ol.
regulativu.,regulative
rejectio,Reddet red.
relapsio,Relap
relativus,İlişkisel .
cognatus,göreceli
comparate,nispeten n.
relativism.,Yeniden Ak.
relativita.,göreli gör.
relaxio,sağlık mer.
liberatio,sürüm sürü.
appositio,İlişki
pertinente.,İlgili ola.
religiosus,Dini dini .
adversatio,Tekrar
residuum,Kalan geri.
réliquus,Kalan kala.
insigníter,İnanılmaz .
remedium,çare
memoratus,hatırladım.
commonitio,hatırlatıc.
reliquum,Kalan kalı.
remote,uzaktan uz.
amotio,ortadan ka.
renovatio,yenileme y.
redivívus,Yeni yenil.
idéntidem,defalarca .
repertoriu.,Repertory
repetitio,Tekrar tek.
relator,muhabir mu.
coércitus,Repressive
reptilis,reptile
republican.,Cumhuriyet
asper,repuign
rogatum,istek tale.
requisitus,Gerekli Ge.
investigat.,Araştırma .
investigat.,Araştırma .
investigat.,araştırmac.
iracundus,Yemin eder.
tectus,Ayrı ayrı .
habitans,sakin saki.
reverens,Saygı sayg.
ceterus,Geri kalan.
requiesco,Geri kalan.
refector,restorer
restringo,Limit kısı.
circumclus.,sınırlı sı.
revocatio,geri çekil.
revelatori.,Açıklama
revelatio,Selam
ultio,intikam in.
recognitio,anket anke.
manuballis.,dönerer
premium,ödül
ozyra,pirinç pir.
díviter,Zengin zen.
sclopetum,tüfek tüfe.
rígidus,katı sert
rigor,rigor
periculum,Risk riski.
ritualis,ritüel
aemulus,rakip raki.
latrociniu.,soygun
robotum,robot robo.
roboticus,robot robo.
saxum,rock
virga,çubuk
munus,rol rolü r.
Románicus,romanlar
amatorius,romantik r.
Roma,Roma Roma
cubículum,Oda odası
fere,kabaca kab.
rotundus,yuvarlak y.
assuetus,rutin ruti.
insolens,kaba kaba .
pernícies,Yıkılmış m.
regula,Kural kura.
Dacoromanu.,Rumanian
cursura,running ru.
Russus,Rus Rus Ru.
Russicus,Rus Rus Ru.
robiginosu.,pas
sacramentu., sac
aedituus,sakristan
maestus,Üzgünüm
sella,saddle
sadismus,sadizm
sádicus,sadist
tuto,güvenle gü.
velum,Veil
venditio,satış satı.
sanctio,sanction
crépida,sandal
Sánscritus,Sanscrit
Jacopópoli.,Santiago S.
dicáculus,sarcastic
acerbus,Sour
satanicus,şeytani
sátura,satire
satiricus,satirical
contentus,memnun mem.
saturatio,Selam
ferus,vahşi vahş.
serra,Gördün tes.
scandalum,skandal sk.
flagitiosu.,skandal
paucitas,Azlık
terríbilis,korkutucu .
scaena,Sahne sahn.
scena,Sahne manz.
diem,zamanlama .
horarium,zamanlama .
schematicu.,şematik
schismatic.,schismatic
schola,Okul okulu
scholaris,Okul okulu
scientific.,Bilimsel B.
scientismu.,Yeterliizm
derisor,scoffer
contemptio,hafif hafi.
contemptim,scornly
Scotus,Scot
Caledonius,Scotch
scotismus,Scotism
Caledonia,İskoçya İs.
quadrum,Ekran ekra.
scriba, 
scrupulus,scruple
sigillum,mühür
explorator.,Arama aram.
secessio,Ayrılık
secunda,İkincisi i.
secretum,gizli gizl.
clam,gizlice gi.
factiosus,Gizli
tutus,Güvenli gü.
securitas,güvenlik g.
segmentum,segment se.
selectus,seçin
selectio,seçimi seç.
ipseitas,Kendinlik
semanticus,semantic
semestris,dönem döne.
semiologia,yarıtoloji
Semíta,Semite
Semiticus,Semitic
sensus,Duygu hiss.
sensibilis,Hassas has.
cordate,Sensibly
sexualis,cinsel cin.
sensualism.,Duygusaliz.
separatus,ayrı ayrı .
perpendicu.,dikey dike.
serio,Ciddi dere.
fámulus,Hizmet sah.
servatrum,server sun.
classis,set set se.
scenograph.,set set se.
incommodit.,Setback
complures,Birkaç bir.
dure,Ağır ağır .
sexualitas,cinsellik
umbra,gölge gölg.
quassatio,Yavaşla
tenuis,sığ sığ sı.
capitilavi.,şampuan şa.
participat.,Paylaş Pay.
pluteus,raf
permutatio,değişim de.
naufrágium,Gemiwreck
túnica,gömlek göm.
brevis,Kısa kısa .
compedium,kısayol
tachygraph.,kısa el
mox,Yakında ya.
acútus,Şaşırdı
tímidus,utangaç ut.
subsignati.,imza imza .
silentium,Sessiz ses.
stultus,aptal apta.
argentum,gümüş gümü.
argenteus,gümüş gümü.
simplicita.,Basitlik b.
facilius,Basit basi.
simplicite.,Sadece bas.
peccatum,Sema
cándidus,samimi sam.
peccaminos.,günahkâr g.
cantor,şarkıcı şa.
unus,single sin.
singularis,eşsiz eşsi.
labellum,lavabo
sísmicus,sismik
scepticus,şüpheci
adumbratio,Çizimi
narta,kayak kaya.
cutáneus,Cilt deris.
alauda,Gökyüzü
calumnia,iftira ift.
diagónium,Kesir
trucidatio,Katliam ka.
servus,köle köle .
Slavicus,Slav
obnoxiosus,slavish
somniculós.,Uyku
mánica,Kol
exiguus,Küçük küçü.
parum,hafifçe bi.
lúbricus,zor zor zo.
lentius,Yavaş yava.
tarde,Yavaş yava.
callídulus,sinsi
sternutame.,sne
fastidiosu.,snob
níveus,kary kary
silus,snub-nosed
ideo,Bu yüzden
socialis,sosyal sos.
socialismu.,sosyalizm .
sociologia,sosyoloji
Socraticus,Socratic
mollis,yumuşak yu.
mollitia,Yumuşaklık
solidus,Katı sağla.
solipsismu.,Solipsism
monodiariu.,soloist
solutio,Çözüm çözü.
nodum,Çözü
solubilis,Çözülebili.
aliquis,Bazı bazıl.
quodámmodo,Bir şekild.
aliquando,Bazen bir .
intérdum,Bazen baze.
aliquantum,biraz bira.
alícubi,Bir yerde .
echogonióm.,oğlu
sonatum,oğul
venéficus,Sihirbaz
digestus,tür
anima,Ruh ruhu
exploratio,Seslendirm.
fontalis,kaynak kay.
meridianus,güney güne.
meridional.,güney güne.
Sovieticus,Sovyet Sov.
sideralis,spacial
illocalis,Uzaysız Uz.
Hispanus,Spaniard
subsicivus,Yedek yede.
parcus,sparing
scintilla,kıvılcım
locútor,konuşmacı .
hasta,mızrak
specialis,Belirli sp.
spectrum,spektrum s.
méditor,spekülasyo.
loquela,Konuşma ko.
sermocinal.,Konuşma ko.
rapiditas,Hız hızı h.
orthograph.,Büyüyen
sphaera,alanı
sphaericus,Küresel
spirituali.,Ruhsal ruh.
sputum.,casus
fissura,bölünmüş b.
bífidus,bölünmüş b.
agonisticu.,spor spor .
vernus,Bahar ilkb.
speculator,casus casu.
rixa,squabble
quadratum,kare kare .
stabilis,stabil sta.
stábulum,stabil sta.
contuberni.,Personel
admissariu.,tezgah
positio,duruş
receptus,standart s.
stella,yıldız yıl.
sidereus,starry
