stipatio,Cluster
infallibil.,unfehlbar
infamis,berüchtigt
consequent.,Inferenz
infinítus,unendlich
infinitas,unendlich
infinitivu.,Infinitiv
infínitas,Unendlichk.
inflátus,aufgeblase.
rarus,Ungeheuer
habitatus,bewohnt
inhibitio,Hemmung
primus,Primär
motivus,Bewegung
initiatio,Initiative
initiator,Initiator
injustitia,Ungerechti.
atramentum,Tinte
intus,innerhalb
interior,Innenausst.
innocentia,Unschuld
innovatori.,Innovation
innovatio,Innovation
inorganicu.,anorganisc.
inspectio,Anfrage se.
insanus,Insane
insanitas,Wahnsinn
insectum,Insekt
instabilis,unsicher
interposit.,stören
perspicien.,Einblick
instantia,Beharrlich.
exemplum,Beispiel
momentum,Moment
instrument.,Werkzeuge
insuláris,Insular
contumelia,Beleidigun.
necessariu.,In den War.
acer,intensiv
intentio,Ziel
embolium,interagier.
temporariu.,zelten
internitas,Inwardness
interludiu.,Interlud
Interretia.,Internet
intervallu.,pause
intérsum,Streitbeil.
percontati.,Interview
intime,innig
contortus,komplizier.
intuitivus,intuitive .
irritus,Invaliditä.
incursio,Invasion
adinventum,Erfindung
adinventor,Erfinder
inversus,inverse
reflexim,umgekehrt
invisibili.,unsichtbar
invitatio,Einladung
implicátus,Beteiligun.
Hibernia,Irland
Hibernius,Irland
irónicus,Eisen
ironía,Eisen
irrational.,Reizen
irregulari.,Unregelmäß.
Islamismus,Islam
Islamicus,Islam
ínsula,Insel
insulánus,Insel
solitarius,isoliert
solitudo,Abfall
isomorphic.,Isomorph
Israelianu.,Israel
exemplar,Frage
Italus,Italienisc.
Italicus,Italienisc.
Itália,Italien
itinerariu.,Itiner
eburneus,Elfenbein
Japania,Japan
Japaniensi.,Japanisch
Jesuiticus,Jesuiten
Judaeus,Jude
Judáéa,Jewes
Judáicus,Juden
conjunctio,gemeinsam
gaudium,Freude
Judaeismus,Judas
judicium,Verfahren
judicialis,Gericht
jurisperít.,Juror
justus,Nur
justitia,Gerechtigk.
cerygmatic.,kerygmatic
claviatura,Tastatur
chilometru.,kilometer
propinqui,Haut
benigne,freundlich
benignitas,Freundlich.
ósculum,Küssen
culína,Küche
textura,Stricken
sollertia,Fähigkeit
scibilis,wissentlic.
cógnitor,Kenner
cognitio,Wissen
scienter,wissend
pittacium,Etikettier.
laboratori.,Laboratori.
domina,Dame
laicismus,Laicismus
laicisticu.,laicistica
lucerna,Lampe
órbita,Orbit
magnus,groß
diutinus,Dauer
tardus,langsam
sero,spät
nuper,in letzter.
serius,später
Latine,Lateinamer.
Latinitas,Latinity
lavándula,Lavendel
prátulum,Rasen
advocatus,Rechtsanwa.
laicus,Laien
segniter,Lazill
pigritia,Lazialität
praelectio,Vortrag
lector,Vorlesung
lectorium,Lektüre
flexibilit.,Lediglich
laevus,links
legatum,Vermächtni.
legitimus,Titan
legalismus,Legalität
legalistic.,Legalität
jus,Recht
legislator,Gesetzgebe.
longitudo,Länge
leprosus,Leim
minus,weniger
minor,kleiner
minutio,Verringeru.
documentum,Moral
planus,Niveau
obnoxius,Haftung
liberalis,liberal
liberalism.,Liberalism.
bibliothec.,liberian
bibliothéc.,Bibliothek
mendacium,Lügen
vita,Leben
levis,Licht
illuminati.,Beleuchtun.
fúlminat,Blitz
verisímili.,wahrschein.
similitudo,Simile
item,ebenfalls
angustus,begrenzt
limitans,Begrenzung
linea,Linie
rótulus,Liste
auscultati.,Zuhören
litra,Liter
litterariu.,Literatur
litterae,Literatur
paulum,klein
parvus,klein
liturgicus,Liturgie
liturgía,Liturgie
vivus,Leben
victus,Leben
mutuum,Darlehen
invenibili.,Lkw
situs,Liegeplatz
logica,Logik
logicus,logisch
solitárius,einsam
age!,Schau!
laqueus,Schleifen
deverticul.,Schnauze
solutus,lose
laxe,locker
amissio,Verlust
demissus,niedrig
inferior,tiefer
fidus,zuverlässi.
fortuna,Glück
lunaticus,lunatic
prandium,Mittagesse.
Lutheranus,Lutherisch.
mendax,liegend
machina,Maschine
machinatio,Maschinen
apex,Tilde
mafianus,Mafios
magia,Magie
magneticus,Magnet
epistulae,Postsendun.
tabellariu.,Postanschr.
praecipuus,Spezial
plurimi,Mehrheit
fabricator,Hersteller
effectio,Produktion
masculus,männlich
forum,Markt
mammiferum,Säugetiere
decursio,Manöver
manuscript.,Manuskript
multi,zahlreiche
exigue,marginal
marihuana,Marihuana
classiariu.,Meeresfrüc.
nota,Eigentum
Martianus,Martian
martýrium,Martyrium
Marxianus,marxisch
Marxismus,Marxismus
masculinus,Masculin
sólidus,Mais
persona,Person
personatus,maskiert
masora,Masora
masoreticu.,masoretisc.
massa,Masse
intelligo,Meister
materialis,Material
materia,Thema
maturatio,Reifung
maturus,reif
maturitas,Laufzeit
maximus,maximal
fortasse,vielleicht
significat.,Bedeutung
significat.,Sinn
mensura,Maßnahme
mechanicus,Mechanik
machinalis,mechanisch
artificum,Mechanik
mechanicis.,Mechanismu.
medianus,Median
mediatus,mittelbar
deprecator,Mediathek
medicina,Medizin
meditatio,Denken
congressio,Tagung
mixtura,Mischung
membrum-es.,Mitgliedsc.
membrana,Gewebe
memoria,Speicher
mentalis,mental
ingenium,Witwen
conductici.,Waren
mercator,Händler
mere,nur
laudabilis,meritorius
nympha,Mermaid
messianicu.,mit einem .
metabolicu.,Stoffwechs.
metabolism.,Stoffwechs.
metallum,Mine
metallicus,Metall
metrum,Meter
methodicus,Verfahren
Methodismu.,Methode
accuratus,meticulous
Méxicum,Mexiko
microbium,Mikroben
microphoni.,Mikrofon
microscopi.,Mikroskop
migratoriu.,Migration
militaris,Militär
millenium,Hirse
amens,Psychiater
mineralis,Mineralwas.
minimus,minimal
diminutio,Minimierun.
minimum,Mindestanf.
minuta,Minute
portentosu.,Wundervoll
miráculum,Wunderbar
speculum,Spiegel
infortuniu.,Unglücklic.
missionali.,Missionar
error,Fehler
false,falsch
mitigatio,Minderung
misceo,Mischung
miscellus,gemischt
modalis,modal
modalitas,Modalität
recens,vor kurzem
modernismu.,Moderne
modernitas,Moderne
módicus,bescheiden
Mahometanu.,Mohammedan
mahometanu.,Mohammedan
molécula,Molekül
súbitus,schnell
monádicus,ein Ort
monadologi.,Monadologi.
monarchia,Monarchie
monasteriu.,Kloster
monasticus,Mönch
monetarius,Geld
pecunia,Geld
monismus,Monarchie
monitorium,Monitor
monachus,Mongolei
monographi.,Mongolei
monopolium,Monopol
monotheism.,Monotheism.
monotonus,monoton
monotonia,Monoton
incertum,Moot
moralis,Moral
moralismus,Moral
moralitas,Moral
ínsuper,und
matutinus,Morgen
morphologi.,Morphologi.
mortalis,Sterblichk.
mortalitas,Sterblichk.
plerique,am
plerumque,gewöhnlich
tínea,Moos
motivatio,Motivation
motorium,Motor
autobírota,Motorrad
motor,Mover
taeníola,Film
multitudo,Menge
Monachium,München
necator,Mörder
musculósus,Muscula
museum,Museum
musicus,Musik
Muslimus,Muslime
subium,Süßigkeite.
repressio,Maulwurf
arcanus,geheimnis
mysterium,geheimnis
mythicus,Mythen
ingenuitas,Naive
scilicet,und
meridiatio,nap
mappa,Napkin
narcoticus,Narkot
narrativus,narrativ
turpis,vile
nationalis,Staatsange.
naturalis,Natürlich
naturalism.,Natürlichk.
naturalita.,Natürlichk.
natura,Art
naturismus,Naturkatas.
ímprobus,schamlos
nausea,Übelkeit
immo,Na
necessitas,Dringlichk.
egens,Notwendig
negativus,negativ
vicínus,Nachbar
nec,weder
neologismu.,Neologismu.
neothomism.,Neothomism.
intentus,Tense
reticulum,Netzwerk
neutralism.,neutralism.
neutrinum,Neutrin
diarium,Zeitung
diurnarius,Zeitung
Neotonianu.,Newtonian
proximus,Nächste
inde,Nächste
bellus,schön.
Nicaenus,Schön
nicotinum,Nicotin
véspere,Nacht
nihilismus,Nihilismus
nirvana,Nirvana
non,nicht
noética,Nostics
clamosus,Noisy
nomadicus,Nomadic
nominalis,Nennwert
nominalism.,Nominalism.
nomine,nominal
haud,nicht
absurdum,Unsinn
norma,Standard
normalis,Normal
normativus,normativ
septentrio.,Nord
nostalia,Nostalgie
nostalgicu.,Nostalg
notandus,notieren
praeprímis,insbesonde.
notatio,Anmerkung
nihil,Null
animadvers.,Bemerkung
notabilis,merklich
notus,Nichtorweg.
novicius,Roman
novitas,Neuheit
novitiatus,Noviciat
nunc,Jetzt
nusquam,Nirgendwo
nuclearis,Kernenergi.
nudus,Nude
numerus,Anzahl
mónacha,nicht
nutritio,Ernährung
oboedienti.,Gehorsam
oboediens,Zutat
oboediente.,gehorsam
gynecólogu.,OBGYN
objectum,Gegenstand
objectio,Einspruch
objectivus,Ziel
oblatio,Angebot
obscure,obskur
attentus,Beobachten
observator,Beobachter
obsolétus,obsolet
patens,offensicht.
occasio,Anlass
octava,Octa
insólitus,seltsam.
insolentia,Unstimmigk.
odysséa,Odyssee
extinctus,Aus
offensa,Offensive
oppugnatio,Offensive
oblatum,Angebot
dicasteriu.,Büro
publice,offiziell
saepe,oft
óleum,Öl
petroleari.,Öl
bene,Okay.
oligarchia,Oligarchie
ominosus,ominiert
praetermis.,Aussetzung
omnípotens,omnipotent
omnísciens,omniscient
accensus,auf
utrólibet,auf
semel,einmal
univalens,Eins...
luscus,einäugig
nonnisi,nur
accessio,Beginn
onticus,Ontologie
ontologism.,Auflogisti.
ontologia,Antarktis
apertum,Öffnung
apertio,Offenheit
palam,offen
contrarium,umgekehrt
contra,gegenüber
vexatio,Unterdrück.
ópticus,Optische
óptimus,optimal
optimismus,Optimismus
optimistic.,optimistis.
optio,Option
eligibilis,optional
orchestra,Orchester
orchestral.,Orchester
ordinalis,Ordinal
ordinarius,regelmäßig
organicus,Biozid
ordinatus,organisier.
instructor,Veranstalt.
novus,Original
initio,ursprüngli.
inceptor,Ursprungsb.
orthodoxus,orthodox
orthodoxia,Orthodoxy
alteritas,andere
secus,andere
eruptio,Ausschlag
excursio,Reise
proscriptu.,Unrecht
priscus,ausmodifiz.
nefastus,Tabu
extrernus,außen
extra,außen
foris,außen
ovarium,Ovarial
obumbrare,Überschatt.
praecentio,Überschrei.
propter,weil
Oxonium,Oxford
oxygenium,Sauerstoff
ozonium,Ozon
pacifismus,Pazifismus
paganus,Heiden
paganismus,Paganismus
pagina,Seite
paginalis,Seite
dolor,Schmerzen
tabula,Gemälde
graphicus,Gemälde
conjungo,Paar
regia,Palast
pállidus,blass
pallitudo,Freundlich.
palpábilis,blass
sessio,Sitzung
pánicum,Panik
pantheismu.,Pantheismu.
pontificiu.,päpstliche
chartáceus,Papier
pompa,Parade
paradóxum,Paradox
parallelus,parallel
similitudi.,Parallelen
paralogism.,Paralogism.
paralýticu.,paralytisc.
parasíticu.,parasitär
paroecia,Gemeinde
Parisiensi.,Pariser
viridarium,Park
paroeciali.,parochial
paródia,Parodie
parcitas,Parsimon
apium,Petersilie
partim,teilweise
participiu.,Teilnehmen
particula,Partikel
particular.,insbesonde.
collusor,Partner
pascalis,Paprika
progreditu.,passieren
ardens,leidenscha.
passivus,Passiv
passivitas,Passivität
signum,Signalsign.
praeteritu.,Vergangenh.
pasta,Pasta
pastoralis,Pastoral
sémita,!
patheticus,Paprika
patientia,Geduld
patiens,Patienten
área,Terrasse
patricius,Patricia
patristicu.,patristisc.
patrologia,Patrologie
patrócinor,Schirmherr
patrociniu.,Schirmherr.
pisum,Erbsen
inusitatus,eigenhändi.
paedagogia,Pädagogik
paedicatio,Pederaster
paediatria,Kinderärzt.
paidóphilu.,Pädophilie
paidophíli.,Pädophilie
efuse,pell-mell
graphium,Bleistift
cogitans,Pensive
populus,Bevölkerun.
perceptio,Wahrnehmun.
perfectus,perfekt
perfectio,Perfektion
peripheria,Umfang
perjurium,Perjury
diuturnus,Dauer
persecutor,Verfolger
assíduus,Dauer
privatus,persönlich
personam-e.,Person
persuasio,Überzeugun.
Peruvia,Peru
Peruvianus,Peruvian
perversus,Perverser
pessimismu.,Pessimismu.
imaginosus,phantastis.
miríficus,phänomenal
phaenomeni.,Phenomen
philosophi.,Philosophi.
phonematic.,Telefon
phoneticus,Telefonat
phonógraph.,Phonograph
photograph.,Foto
oratio,Gespräch
physicus,Körper
physica,Physik
physiologi.,Physiologi.
pictura,Bild
frustum,Stück
frustátim,Stücke
pietismus,Piet
peregrinus,Pilger
píllula,Pille
gubernator,Pilot
fístula,Rohr
piraticus,Piräus
ballistula,Pistol
urna,Stellplatz
scriblita,Pizza
locatio,Vermittlun.
pestis,Pest
planta,Pflanzen
púlpitum,Plattform
Platonicus,Platonisch
Platonismu.,Platonie
fábula,Spiel
platéa,Sesam
amoenus,angenehm
quaeso,Bitte!
voluptas,Vergnügen
plebéjus,plebeian
arátrum,Pflüge
pluralis,Plural
pluralismu.,Pluralismu.
multipicit.,Anzahl
plutocrati.,Plutocity
internecio,Pogrom
supervacuu.,sinnlos
venenum,Giftstoff
venenatus,giftig
Pólonus,Pole
vigiliariu.,Polizei
Polonicus,Polnisch
politicus,Politik
respublica,Politik
polyádicus,Polyaden
multísonus,Polyphon
mmultivale.,Polyvalent
stagnum,Teich
pontifical.,pontificat
pauper,arm
popularis,beliebt
populismus,Populismus
gestabilis,Portable
Lusitania,Portugal
Lusitanus,Portugiesi.
certus,positiv
expresse,positiv
positivism.,Positives
possessivu.,besessenhe.
possibilis,möglich
postmodern.,Postmodern.
postbellic.,Nachkrieg
olla,Topf
solánum,Kartoffel
potentiali.,Potenzial
válidus,leistungss.
pragmaticu.,pragmatisc.
pragmatism.,Pragmatism.
contionáto.,Prediger
praeámbulu.,Präambel
praeámbulu.,Präambel
precarius,prekär
praegressi.,Vorrang
praecedens,vorangegan.
pretiosus,wertvoll
praecise,genau
exactitudo,Präzision
praedicatu.,Prädikat
praedictio,Vorhersage
prolegomen.,Vorwort
potius,eher
praepositi.,Vor
graviditas,Vorgabe
gravida,schwanger
praejudici.,Vorbeugung
praelusio,Prelud
praematuru.,vorzeitig
praemissa,Prämissen
praenatali.,Vornatal
praenota,Vorschrift
instans,Dringlichk.
expósitor,Präsentato.
póstmodum,derzeit
putativus,angeblich
vulgatus,vorherrsch.
anticipati.,Vorschau
antehac,zuvor
pretium,Wert
superbia,Stolz
sacerdotiu.,Priester
prístinus,Prima
primordie,primal
principiss.,Prinzessin
principali.,Hauptgesch.
principium,Grundsatz
impresoriu.,Drucken
privatim,privat
privatio,Privatisie.
privilegiu.,Privilegie.
privilegia.,privilegie.
verisimili.,wahrschein.
probabilit.,wahrschein.
quaestio,Frage stel.
ratio,Begründung
productum,Erzeugnis
profánus,Profane
professio,Beruf
professor,Professor
figura,Profil
progressio,Fortschrit.
projectio,Vorsprung
promissio,Verspreche.
bonae,viel mehr
eloquior,Aussprache
adminiculu.,Propan
propagatio,Propaganda
propensio,Kosten
proprie,ausschließ.
prophetía,Prophezeiu.
prophéticu.,prophetisc.
proponens,Komponente
proportio,Verhältnis
prosaicus,Prosaic
prosa,Prose
tutela,Schutz
proteinum,Protein
recusatio,Ablehnung
Protestans,Evangelisc.
reclamator,Demonstran.
protocóllu.,Protokoll
tabularius,Protokoll
superbus,Stolz
demonstrab.,Prüfverfah.
Provincial.,In den War.
providenti.,Vorsehung
próvidus,Vorgabe
prudentia,Vorsicht
pseudónymu.,Pseudonym
psychiatri.,Psychiatri.
psýchicus,Psyche
psychologi.,Psychologi.
psychoticu.,psychotisc.
publicatio,Öffentlich.
editor,Verlag
ántlia,Pumpe
poena,Strafe
poenarius,Versammeln
puncianus,Punk
puppa,Welpen
purus,rein
purgatoriu.,Spülung
persecutio,Verfolgung
protervus,schubladen
qua,qu
quantum,Quanten
quanticus,Quanten
altercatio,Streit
quasi,Quasi
quaesitio,quest
perquiro,quest
quaesítum,Frage stel.
Quichoticu.,quixotisch
quaestiúnc.,Quiz
dictum,sagen:
rabbínus,Rabbi
rabbinicus,Rabbiner
phyléticus,Rasse
discrimina.,rassistisc.
radiatio,Strahlung
innatus,Rest
radícitus,radikal
radiophoni.,Radio
ferrívia,Eisenbahn
pluvia,Regen
divulgatus,Rampe
fortúitas,Zufälligke.
stuprum,Raps
temerarius,recklos
temeritas,Hautaussch.
rationalis,Rationalit.
ratione,rational
crudus,Rohöl
reactio,Umsetzung
reactorium,Reaktor
promptitud.,Bereitscha.
lectio,Lesen
realis,real
realismus,Realismus
realisticu.,realistisc.
realitas,Realität
realiter,wirklich
regnum,Herrschaft
prudens,angemessen
rebellio,Rebellion
seditiosus,subversiv
redargutio,Rebutt
recensio,Überprüfun.
monadia,Erwägungsg.
témere,rücksichts.
magnetopho.,Schreibmas.
incisio,Tonaufnahm.
recreatio,Erholung
recursivus,rekursiv
redemptibi.,erlösbar
redemptor,Einlösen
redemptio,Erlösung
coartatus,reduktiv
iterum,Neubewertu.
mentio,Referenz
denotadum,Referent
amandatio,Verwendet
recíprocus,Reflexion
refutatio,Widerlegun.
regionalis,Regionen
regrediens,regressive
paenitenti.,Buße
ordinarie,regelmäßig
regulativu.,Regulativ
rejectio,Ablehnung
relapsio,Rückfall
relativus,Verhältnis
cognatus,relativ
comparate,relativ
relativism.,Relativitä.
relativita.,Relativitä.
relaxio,Entspannun.
liberatio,Release
appositio,Relevanz
pertinente.,relevant
religiosus,Religion
adversatio,Zurückhalt.
residuum,Rest
réliquus,Rest
insigníter,bemerkensw.
remedium,Mittel
memoratus,erinnert
commonitio,Erinnerung.
reliquum,Rem.
remote,ferngesteu.
amotio,Entfernung
renovatio,Erneuerung
redivívus,erneuert
idéntidem,wiederholt
repertoriu.,Repertoire
repetitio,Wiederholu.
relator,Reporter
coércitus,repressiv
reptilis,Reptilien
republican.,Republikan.
asper,Repugat
rogatum,Anfrage se.
requisitus,erforderli.
investigat.,Forschung
investigat.,Forschung
investigat.,Forscher
iracundus,lässig
tectus,Zurück zur.
habitans,Gebiet
reverens,respektvol.
ceterus,Ruhe
requiesco,Ruhe
refector,Restaurier.
restringo,Einschränk.
circumclus.,eingeschrä.
revocatio,Zurückzieh.
revelatori.,Enthüllung
revelatio,Offenbarun.
ultio,Rache
recognitio,Erhebung
manuballis.,Revolver
premium,Belohnung
ozyra,Reis
díviter,reich
sclopetum,Geflecht
rígidus,starr
rigor,Ritus
periculum,Risikoposi.
ritualis,Ritual
aemulus,Rivalen
latrociniu.,Raub
robotum,Roboter
roboticus,Roboter
saxum,Stein
virga,Stabstahl
munus,Rolle
Románicus,Romantik
amatorius,romantisch
Roma,Rom
cubículum,Zimmer
fere,grob
rotundus,rund
assuetus,Routine
insolens,Rupie
pernícies,Ruinen
regula,Regel
Dacoromanu.,Rumanisch
cursura,Laufen
Russus,Russisch
Russicus,Russisch
robiginosu.,rostig
sacramentu.,Sakrament
aedituus,Sacristan
maestus,traurig
sella,Sattel
sadismus,Sadismus
sádicus,sadistisch
tuto,sicher
velum,Schleier
venditio,Verkauf
sanctio,Sanktionen
crépida,Sandel
Sánscritus,Sanscrit
Jacopópoli.,Santiago d.
dicáculus,Sarkastisc.
acerbus,Soja
satanicus,satan
sátura,Satir
satiricus,Satire
contentus,zufrieden
saturatio,Sättigung
ferus,Wild
serra,Säge
scandalum,Skandal
flagitiosu.,Skandal
paucitas,Narbe
terríbilis,erschrecke.
scaena,Szene
scena,Landschaft
diem,Zeitplan
horarium,Zeitplan
schematicu.,schematisc.
schismatic.,schismatis.
schola,Schule
scholaris,Schule
scientific.,Wissenscha.
scientismu.,Scientism
derisor,Soffer
contemptio,leicht
contemptim,Bohnen
Scotus,Scooter
Caledonius,Scotch
scotismus,Skepsis
Caledonia,Schottland
quadrum,Bildschirm
scriba,scribe
scrupulus,Fichte
sigillum,Dichtung
explorator.,Suchen
secessio,Sezession
secunda,zweiter
secretum,geheimnis
clam,geheim
factiosus,Sektierer
tutus,Sicherheit
securitas,Sicherheit
segmentum,Segment
selectus,Wählen
selectio,Auswahl
ipseitas,Selbst
semanticus,Semantik
semestris,Semester
semiologia,Semiologie
Semíta,Halbzeug
Semiticus,Halbzeug
sensus,Gefühl
sensibilis,empfindlic.
cordate,sensibel
sexualis,Geschlecht
sensualism.,Sensualism.
separatus,getrennt
perpendicu.,vertikal
serio,ernst
fámulus,Knecht
servatrum,Server
classis,Menge
scenograph.,Menge
incommodit.,Zurück zur.
complures,mehrere
dure,schwer
sexualitas,Geschlecht
umbra,Schatten
quassatio,Zittern
tenuis,Weiden
capitilavi.,Shampoo
participat.,Anteil
pluteus,Regal
permutatio,Schicht
naufrágium,Schiffbruc.
túnica,Hemd
brevis,kurz
compedium,Kurzbeschr.
tachygraph.,Kurzwaren
mox,bald
acútus,geschrumpf.
tímidus,!
subsignati.,Unterschri.
silentium,Stillschwe.
stultus,Dummheit
argentum,Silber
argenteus,Silber
simplicita.,Einfach
facilius,Vereinfach.
simplicite.,einfach
peccatum,Sünde
cándidus,aufrichtig
peccaminos.,Sündhaft
cantor,Sänger
unus,nur
singularis,einzigarti.
labellum,Spülbecken
sísmicus,Sismic
scepticus,skeptisch
adumbratio,Skizze
narta,Ski
cutáneus,Haut
alauda,In den War.
calumnia,Slander
diagónium,Slash
trucidatio,Schlachtkö.
servus,Sklaven
Slavicus,Sklavisch
obnoxiosus,Slavier
somniculós.,Schlafen
mánica,Hülse
exiguus,winzig
parum,leicht
lúbricus,riesig
lentius,langsamer
tarde,langsam
callídulus,Schnabelha.
sternutame.,Nieren
fastidiosu.,Schinken
níveus,Schnee
silus,Schnupfen
ideo,also
socialis,Soziales
socialismu.,Sozialismu.
sociologia,Soziologie
Socraticus,Sokrates
mollis,weich
mollitia,Weichheit
solidus,Feststoff
solipsismu.,Solipsismu.
monodiariu.,Solist
solutio,Lösung
nodum,Lösung
solubilis,lösefähig
aliquis,einige
quodámmodo,Irgendwie
aliquando,Zeit
intérdum,manchmal
aliquantum,etwas
alícubi,irgendwo
echogonióm.,Sonar
sonatum,Sohn
venéficus,Wizard
digestus,Art
anima,Seele
exploratio,Geräusche
fontalis,Quelle
meridianus,Süd
meridional.,Süd
Sovieticus,Sowjetisch
sideralis,Spachtel
illocalis,Raumlos
Hispanus,Spanier
subsicivus,Ersatzteil.
parcus,Spatenstic.
scintilla,Funk
locútor,Lautsprech.
hasta,Speer
specialis,spezifisch.
spectrum,Spektrum
méditor,Spekulatio.
loquela,Sprache
sermocinal.,Sprache
rapiditas,Geschwindi.
orthograph.,Rechtschre.
sphaera,Sphäre
sphaericus,Kugel
spirituali.,Geist
sputum.,Spieß
fissura,Teil
bífidus,Teil
agonisticu.,Sport
vernus,Feder
speculator,Spion
rixa,Kieselstei.
quadratum,Quadrat
stabilis,stabil
stábulum,stabil
contuberni.,Personal
admissariu.,Hengst
positio,Haltung
receptus,Standard
stella,Stern
sidereus,Stars
affirmatio,Erklärung
stativus,statisch
immotus,nicht gesc.
rationariu.,Statistik
statua,Statue
mansio,Besuch
chalybs,Stahl
chalybéjus,Stahl
stelláris,stellar
noverca,Stiefmütte.
privignus,Schritt
stereótypu.,Stereotyp
sterilis,steril
sterilitas,Sterilität
báculum,Stickerei
adhuc,noch
fóétidus,stinkend
stápia,Würmer
punctum,Stich
Stoicus,Storno
Stoicismus,Sterblichk.
stola,gestohlen
siste!,Stopp!
taberna,Laden
fabula,Geschichte
váricus,Städtchen
nixus,Stamm
lorum,Armband
pálea,Stroh
vena,Streifen
strictus,eng
discordia,Strif
operistiti.,Streik
linum,Zeichen
consectati.,Bestreben
valide,stark
studens,Schüler
scholicus,Schüler
stúpidus,Du dummes .
balbútio,Strich
subcultura,Subcultura
servitium,Subjekt
malesanus,Subnormal
subnotator,Teilnehmer
subscriptu.,Unterschri.
ínsequens,anschließe.
subaggrega.,Unterkateg.
subsidium,Subvention.
subsistens,Teil
substantia,Stoff
substratum,Substrat
súbtilis,subtil
suburbium,Vor Ort
suburbanus,Vorname
successio,Folge
continuus,nacheinand.
successor,Nachfolge
talis,B.
talitas,B.
subitus,plötzlich
súbito,plötzlich
dolorosus,Leiden
miseriae,Leiden
sáccharum,Zucker
capitulati.,Summe
summarium,Zusammenfa.
aestivus,Sommer
ápricus,sonnig
tollo,Supersede
superinten.,Supervisor
cena,Saft
fulciens,Unterstütz.
pone,in den War.
exploratum,sicher.
certe!,Sicher!
certe,sicher.
superficia.,Oberfläche
chirúrgia,Chirurgie
superreali.,Surrealism.
succedaneu.,Surrogat
superviven.,Überleben
supérstes,Überleben
suspectus,verdächtig
suspicax,verdächtig
Suetus,Schweden
Suetia,Schweden
Sueticus,Schweden
dulcedo,Süßigkeite.
Helveticus,Schweiz
mutatrum,Schalter
túmidus,geschwolle.
juratus,Schweine
syllogismu.,Syllogismu.
symbolicus,symbolisch
symbolismu.,Symbolik
sympathía,Sympathie
symposium,Symposium
sýnchronus,Synchron
syncretism.,Synkrektis.
synónymum,Synonym
synonymus,Synonym
syntacticu.,Synthetik
syntheticu.,Kunststoff
Syríacus,Syrien
systematic.,Systematik
tabacum,Tabacco
mensa,Tabelle
tacite,zaghaft
vestítor,Schneider
susceptio,Übernahme
garrulus,sprachlich
implicatio,Dreieck
Taoismus,Tacho
taenia,Band
tautologia,Tautologie
vestíficus,Taylor
thea,Tee
dócilis,lehrreich
doctor,Lehrer
didascalic.,Lehre
turma,Team
artis,technische
technologi.,Technologi.
teleologia,Telematik
telephonic.,Telefon
telescopiu.,Teleskop
televisio,Fernsehen
televisífi.,Fernsehen
templum,Tempel
temporalis,vorübergeh.
temptatio,Versuchung
credíbile,Tenor
teniludium,Tennisplät.
tempus,während
tentorium,Zelt
terrorismu.,Terrorismu.
terrorista,Terroriste.
terrorísti.,Terroriste.
Texianus,Texan
Texia,Texas
theatralis,theatralis.
furtum,Die
theismus,Der
tunc,dann
illinc,aus
theocrátia,Theocracy
theocratic.,Theocratic
theodicéa,Theodicy
theológia,Theologie
theophánia,Theophany
theória,Theorie
therapia,Therapie
exinde,danach
fur,Der
subtílis,dünne
cogitabili.,Denkbar
hodie,heute
haecceitas,Diese
Thomismus,Thomismus
ínteger,gründlich
cogitatio,Gedanken
cogitabund.,nachdenkli.
minatio,Bedrohung
formidulos.,spannend
téssera,Und was?
tégula,Fliesen
intemporal.,zeitlos
tempestivi.,Zeitlinien
tempestivu.,zeitnah
alio,bis
propinatio,Toast
conjuncti,zusammen
sédulo,toil
aerumna,toil
latrina,WC
toleration,Toleranz
cras,Morgen
quoque,auch
ferramentu.,Werkzeug
topographi.,Topographi.
summa,Gesamt
turismus,Tourismus
turisticus,Touristen
erga,Richtung
manutergiu.,Handtuch
toxicologi.,Toxizität
lúdicrum,Spielzeug
vestigium,Spuren
traditio,Tradition
tragóédia,Tragödie
excriptum,Transkript
transexual.,Transexuel.
transvecti.,Übertragun.
transitori.,transiente.
transitivu.,Durchgang
viator,Reise
perfidia,Verrat
motus,Trend
natio,Stamm
titivillit.,Trifle
triplex,Drei
trivialis,Trivial
caterva,Tropen
tropicus,tropica
verus,wahr
fiducia,Vertrauen
veritas,Wahrheit
veritatis,Wahrheit
verax,wahrhaftig
conatum,Versuch
túbulus,Rohr
tumor,Tumor
Turca,Türkei
Túrcia,Türkei
conversio,Drehung
vicissitud.,Umsatz
crepusculu.,Twilight
bivalens,zweiwertig.
typographi.,Typ
typicus,typisch
omnipraese.,Ubiquity
foedus,hässlich
ultimitas,ultimacy
postremus,Höchst
definitive,letztlich
umbilicari.,umbillig
umbella,Sonnenschi.
sollicitus,Unheimlich
inexplorat.,unkontroll.
sub,darunter
subúcula,Unterwäsch.
immeritus,unverdient
ineducatus,roh
iniquus,Ungerade
iniquitas,Unebenheit
inprovisus,unerwartet
explicatio,Entfaltung
improvisus,Unvorherge.
necopinatu.,Unvorherge.
expedítus,ungehinder.
aequabilis,gleichmäßi.
aequabilit.,Gleichmäßi.
unificus,Vereinheit.
unice,einzigarti.
universali.,universell.
universita.,Universitä.
unívocus,univocal
univocitas,Einstimmig.
injustus,Ungerechti.
injuste,ungerechtf.
